"Time","Donald Trump","Kamala Harris","Election"
"2025-09-14",44,1,9
"2025-09-21",54,2,11
"2025-09-28",46,1,11
"2025-10-05",44,1,11
"2025-10-12",46,1,11
"2025-10-19",44,1,14
"2025-10-26",40,1,14
"2025-11-02",38,1,61
"2025-11-09",48,1,57
"2025-11-16",47,1,16
"2025-11-23",31,1,12
"2025-11-30",32,1,16
"2025-12-07",31,1,14
"2025-12-14",48,1,11
"2025-12-21",35,1,10
"2025-12-28",44,1,8
"2026-01-04",69,1,10
"2026-01-11",58,1,25
"2026-01-18",72,1,13
"2026-01-25",54,1,13
"2026-02-01",57,1,18
"2026-02-08",44,1,22
"2026-02-15",40,1,15
"2026-02-22",52,1,15
"2026-03-01",59,1,23
"2026-03-08",48,1,17
"2026-03-15",45,1,36
"2026-03-22",47,1,21
"2026-03-29",63,1,14
"2026-04-05",93,1,20
"2026-04-12",64,1,20
"2026-04-19",43,1,23
"2026-04-26",56,1,21
"2026-05-03",36,1,100
"2026-05-10",46,1,17
"2026-05-17",42,1,17
"2026-05-24",41,1,14
"2026-05-31",40,1,22
"2026-06-07",42,0,16
"2026-06-14",49,1,14
"2026-06-21",35,1,12
"2026-06-28",35,0,10
"2026-07-05",50,0,12
"2026-07-12",41,0,11
"2026-07-19",43,0,12
"2026-07-26",32,1,12
"2026-08-02",29,0,17
"2026-08-09",32,0,15
"2026-08-16",32,0,12
"2026-08-23",36,0,9
"2026-08-30",32,0,9
"2026-09-06",39,0,10
"2026-09-13",30,1,8
