"Time","Donald Trump","Election"
"2025-09-14",44,9
"2025-09-21",54,11
"2025-09-28",46,11
"2025-10-05",44,11
"2025-10-12",46,11
"2025-10-19",44,14
"2025-10-26",40,14
"2025-11-02",38,61
"2025-11-09",48,57
"2025-11-16",47,16
"2025-11-23",31,12
"2025-11-30",32,16
"2025-12-07",31,14
"2025-12-14",48,11
"2025-12-21",35,10
"2025-12-28",44,8
"2026-01-04",69,10
"2026-01-11",58,25
"2026-01-18",72,13
"2026-01-25",54,13
"2026-02-01",57,18
"2026-02-08",44,22
"2026-02-15",40,15
"2026-02-22",52,15
"2026-03-01",59,23
"2026-03-08",48,17
"2026-03-15",45,36
"2026-03-22",47,21
"2026-03-29",63,14
"2026-04-05",93,20
"2026-04-12",64,20
"2026-04-19",43,23
"2026-04-26",56,21
"2026-05-03",36,100
"2026-05-10",46,17
"2026-05-17",42,17
"2026-05-24",41,14
"2026-05-31",40,22
"2026-06-07",42,16
"2026-06-14",49,14
"2026-06-21",35,12
"2026-06-28",35,10
"2026-07-05",50,12
"2026-07-12",41,11
"2026-07-19",43,12
"2026-07-26",32,12
"2026-08-02",29,17
"2026-08-09",32,15
"2026-08-16",32,12
"2026-08-23",36,9
"2026-08-30",32,9
"2026-09-06",39,10
"2026-09-13",32,8
